#separator:tab
#html:true
#notetype:Basic
#deck:Python::Python Fundamentals
#tags column:3
#columns:Front	Back	Tags
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: `is` checks identity (same object)</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`==` checks value equality.</div>	domain::python course::python_fundamentals section::ch_1_python_basics_environment
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Difference between list comprehension and generator expression?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">List comprehension creates full list in memory. Generator expression ((...)) yields lazily -- memory efficient for large sequences.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When to use generator expression vs list comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Generator for large/infinite sequences, chaining, memory-constrained. List for small data, need random access/len/indexing.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to sum squares using a generator expression?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">sum(x**2 for x in range(10)) -- no extra brackets needed as sole argument.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the lambda syntax?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">lambda args: expression -- single expression only, no statements.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Lambda with default arguments?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">lambda a, b=2: a * b -- defaults evaluated at definition time.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Common lambda use case?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">key= functions: sorted(items, key=lambda x: x[1]) or map/filter callbacks.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Late-binding gotcha with lambdas in loops?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">funcs = [lambda: i for i in range(3)] -> all return 2. Fix: lambda i=i: i binds value as default.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When to prefer def over lambda?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Named function needed, multiple statements, recursion, docstring/type hints, readability.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does map(func, iterable) do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Returns iterator applying func to each item: list(map(str.upper, ["a", "b"])) -> ["A", "B"].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does filter(func, iterable) do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Returns iterator of items where func is truthy: list(filter(lambda x: x>5, range(10))) -> [6,7,8,9].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does functools.reduce(func, iterable) do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Cumulatively applies binary function: reduce(lambda a,b: a+b, [1,2,3]) -> 6. With initializer: reduce(add, [], 0) -> 0.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's functools.partial for?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Fix some arguments of a function: square = partial(pow, exp=2) -> square(5) = 25.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.count do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Infinite counter: zip(count(), ['a','b']) -> [(0,'a'), (1,'b')].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.cycle do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Infinite repetition: islice(cycle([1,2]), 5) -> [1,2,1,2,1].</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.islice do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Slice an iterator: islice(range(100), 5, 15) -> [5..14] without creating full list.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.chain do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Concatenate iterables: chain([1,2], [3,4]) -> [1,2,3,4]. chain.from_iterable(matrix) flattens.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Difference between product, permutations, combinations?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">product = Cartesian product (ordered, with replacement). permutations = ordered, no replacement. combinations = unordered, no replacement.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does itertools.groupby require?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Input must be pre-sorted by the grouping key. Groups consecutive items with same key.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does operator.itemgetter do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Returns callable extracting item by index/key: itemgetter(1)(["a","b"]) -> "b". Often clearer than a lambda for simple extraction.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does operator.attrgetter do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Extracts attribute: attrgetter("age")(person) -> person.age. Use with sorted(key=).</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does operator.methodcaller do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Calls method by name: methodcaller("upper")("hi") -> "HI". methodcaller("replace"," ","-")("a b") -> "a-b".</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to group by key using dict comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">{k: [v for k2,v in data if k2==k] for k in set(k for k,_ in data)} -- inefficient for large data.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Better way to group -- use itertools.groupby?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Sort first, then {k: [v for _,v in g] for k,g in groupby(sorted_data, key=lambda x: x[0])}.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the operator module arithmetic functions?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">add(a,b), mul(a,b), sub(a,b), truediv(a,b) -- use with reduce: reduce(add, [1,2,3]) -> 6.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
