#separator:tab
#html:true
#notetype:Basic
#deck:AI Agents فارسی::Self-Improving AI Agents
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چه انواع پاداشی در RLHF ترکیب می‌شوند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">درستی، مفید بودن، مشخص بودن و بی‌ضرر بودن — بسته به اهمیت وزندهی می‌شوند.</div>	domain::ai_agents course::cs329a section::w1_training_pipeline
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">روایت سه‌مرحله‌ای درس برای ChatGPT چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">پیش‌آموزش ← instruction tuning ← RLHF، معرفی‌شده در Ouyang و همکاران ۲۰۲۲ (InstructGPT). این یک نمودار آموزشی است، نه مشخصات آموزش واقعی هیچ نسخه خاصی از ChatGPT.</div>	domain::ai_agents course::cs329a section::w1_training_pipeline
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ایده «Large Language Monkeys» چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">الهام‌گرفته از قضیه میمون بی‌نهایت: نمونه‌برداری مکرر از LLM روی همان مسئله (نمونه‌برداری موازی) و استفاده از verifier برای انتخاب جواب درست. (Brown و همکاران، ۲۰۲۴.)</div>	domain::ai_agents course::cs329a section::w1_inference_scaling
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">verifier در مقیاس‌پذیری استنتاج چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مکانیزم انتخابی که پاسخ‌های تولیدشده را بررسی می‌کند (مثلاً unit test برای کد، جواب معلوم برای ریاضی) و جواب درست را برمی‌گزیند.</div>	domain::ai_agents course::cs329a section::w1_inference_scaling
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">نمونه‌برداری مکرر در مقاله Large Language Monkeys چه نشان داد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">افزایش نمونه‌ها coverage (کسری از مسائل حل‌شده با ≥۱ نمونه از k نمونه) را بالا می‌برد. در SWE-bench Lite، coverage از ۱۵.۹٪ با ۱ نمونه به ۵۶٪ با ۲۵۰ نمونه برای بهترین مدل افزایش یافت. رابطه لگاریتمی-خطی است.</div>	domain::ai_agents course::cs329a section::w1_inference_scaling
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">خوانش دقیق «یک مدل ۷ میلیاردی با نمونه‌های زیاد از GPT-4o با یک نمونه بهتر شد» چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">به آزمایش‌های خاص SWE-bench Lite / HumanEval در Brown و همکاران ۲۰۲۴ اشاره دارد که یک مدل کوچک‌تر با بودجه نمونه‌برداری بالا را با یک مدل بزرگ‌تر در k=1 مقایسه می‌کند. هویت دقیق مدل، بودجه نمونه‌برداری، verifier و بنچمارک باید از خود مقاله نقل شود.</div>	domain::ai_agents course::cs329a section::w1_inference_scaling
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مقیاس‌پذیری استنتاج (test-time scaling) چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ثابت نگه‌داشتن پارامترهای مدل و صرف محاسبات بیشتر در زمان استنتاج (نمونه‌ها/تفکر بیشتر) برای جواب بهتر. قانون مقیاس لگاریتمی-خطی روی coverage نشان می‌دهد.</div>	domain::ai_agents course::cs329a section::w1_inference_scaling
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت coverage و pass@k در تعریف درس چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">در Brown و همکاران ۲۰۲۴، coverage = کسری از مسائل بنچمارک که با ≥۱ نمونه از k نمونه حل شده‌اند. pass@k (Codex / Chen و همکاران ۲۰۲۱) = احتمال اینکه حداقل یکی از k نمونه با حذف تکراری‌ها پاس شود، با تخمین‌گر unbiased. مرتبط‌اند اما تخمین‌گرهای متفاوتی دارند؛ برای نقل عدد، تعریف دقیق مقاله را استفاده کنید.</div>	domain::ai_agents course::cs329a section::w1_inference_scaling
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">DeepSeek-R1 چه کار متفاوتی کرد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">طبق گزارش فنی عمومی (DeepSeek-AI، ۲۰۲۵، arXiv 2501.12948)، DeepSeek-R1 از خط لوله RL (GRPO + پاداش‌های قابل تأیید) استفاده می‌کند که در آن trace‌های استدلال تولیدشده توسط مدل به داده آموزش تبدیل می‌شوند. این نسخه مستند «حلقه خودبهبودی» است که درس توصیف می‌کند.</div>	domain::ai_agents course::cs329a section::w1_reasoning_models
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">OpenAI درباره خط لوله آموزش o1 چه چیزی فاش کرد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">صفحه سیستم / system card o1، RL در مقیاس بزرگ با استدلال زنجیره‌تفکر را توصیف می‌کند، اما recipe داده آموزشی انحصاری را با detaیل فاش نمی‌کند. «o1 داده زمان تست تولید می‌کند و به fine-tune بازمی‌گرداند» را باید فرضیه سطح‌بالای درس بدانید، نه واقعیت تأییدشده.</div>	domain::ai_agents course::cs329a section::w1_reasoning_models
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">گزارش فنی Gemini درباره حلقه خودبهبودی چه چیزی فاش کرد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">گزارش فنی Gemini (Gemini Team، ۲۰۲۴، arXiv 2312.11805) خط لوله خودبهبودی حلقه‌بسته را توصیف نمی‌کند. همین روایت برای Gemini باید به عنوان فرضیه سطح‌بالای درس در نظر گرفته شود.</div>	domain::ai_agents course::cs329a section::w1_reasoning_models
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مدل‌های استدلالی برای مسائل سخت چه گام‌هایی برمی‌دارند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تحلیل مسئله، تجزیه وظیفه، خودارزیابی (بازخورد)، خوداصلاحی و پیشنهادهای جایگزین (بازگشت به عقب).</div>	domain::ai_agents course::cs329a section::w1_reasoning_models
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">o1 در کدام بنچمارک‌ها از GPT-4o بهتر است (طبق OpenAI)؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">طبق صفحه معرفی o1: AIME، MATH، GPQA، Codeforces. OpenAI همچنین گزارش می‌کند GPT-4o در وظایف نوشتن/ویرایش رقابتی یا بهتر است.</div>	domain::ai_agents course::cs329a section::w1_reasoning_models
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت ایجنت با چت‌بات/مدل استدلالی چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ایجنت با خودمختاری و حلقه کنترل تعریف می‌شود — هدف دارد، برنامه‌ریزی می‌کند، با محیط/ابزار تعامل می‌کند، بازخورد می‌گیرد، خودش را اصلاح می‌کند و تصمیم می‌گیرد کی متوقف شود. چت‌بات‌ها و مدل‌های استدلالی لزوماً «تک‌نوبتی» نیستند (محصولات چت مدرن چند‌نوبتی هستند)؛ ایجنت‌ها با حلقه، تعامل با محیط، حالت/حافظه و رفتار خاتمه متمایز می‌شوند.</div>	domain::ai_agents course::cs329a section::w1_agents
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">گردش‌های کاری ایجنتی از چه اجزایی استفاده می‌کنند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">فراخوانی LLM، verifier، منتقد/داور (LLM-as-judge)، فراخوانی ابزار (جستجو، ترمینال، اجرای کد) و هماهنگی (orchestration).</div>	domain::ai_agents course::cs329a section::w1_agents
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">الگوهای رایج orchestration را نام ببر.</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">زنجیره prompt، مسیریابی (routing)، موازی‌سازی، orchestrator (LLM برنامه‌ریز)، ارزیاب/داور و verifier.</div>	domain::ai_agents course::cs329a section::w1_agents
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا verifier گلوگاه ایجنت‌هاست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">در دامنه‌های قابل تأیید (ریاضی، کد) می‌توان بازخورد خودکار داد؛ در دامنه‌های باز بازخورد کم است و بازخورد انسانی گلوگاه می‌شود — شکاف generator-verifier.</div>	domain::ai_agents course::cs329a section::w1_agents
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">نمره‌دهی CS329A (پاییز ۲۰۲۵) چگونه است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">HW1 ۱۵٪ · HW2 ۱۵٪ · HW3 ۲۰٪ · پروپوزال پروژه ۲.۵٪ · ارائه میان‌ترم + گزارش ۱۰٪ · پروژه نهایی ۳۵٪ · پوستر ۲.۵٪. منبع: https://cs329a.stanford.edu/.</div>	domain::ai_agents course::cs329a section::w1_course_logistics
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">پروژه درسی خوب در برابر بد چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">خوب: بنچمارک/دیتاست ارزیابی جدید، مطالعه قابلیت اطمینان، بهبود بنچمارک موجود، زیر سؤال بردن تصمیم یک مقاله. بد: مقاله مروری یا یک اپ ساده بدون فرضیه.</div>	domain::ai_agents course::cs329a section::w1_course_logistics
